antigen_id,antigen_host_class,antigen_host_order,antigen_host_family,antigen_host_genus,antigen_host_species,antigen_collection_location_continent,antigen_collection_location_country,antigen_collection_location_region,antigen_collection_year
EPI2429110,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2648221,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,North America,United States,Iowa,2022
EPI2703274,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2709258,Aves,Not Specified,,,,North America,United States,Iowa,2022
EPI2709484,Aves,Not Specified,,,,North America,United States,Pennsylvania,2022
EPI1556014,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2023
EPI2246728,Aves,Not Specified,,,,South America,Chile,Region de Valparaiso,2023
EPI107997,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,Tinh Khanh Hoa,2024
EPI108071,Aves,Anseriformes,Anatidae,,,Asia,,,2024
EPI165150,,Not Specified,,,,Asia,Kazakhstan,,2006
EPI190436,Aves,Anseriformes,Anatidae,Anas,,Europe,Austria,,2006
EPI1250,Aves,Anseriformes,Anatidae,Anser,indicus,Asia,Bangladesh,,2010
EPI269982,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Asia,Bangladesh,,2011
EPI417796,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2013
EPI1892850,Aves,Anseriformes,Anatidae,,,Asia,China,Chongqing,2014
EPI366418,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2014
EPI1785175,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Laos,,2022
EPI1962017,Aves,Galliformes,Phasianidae,Meleagris,,Europe,United Kingdom,England,2022
EPI2247172,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Massachusetts,2022
EPI2562617,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Netherlands,Provincie Utrecht,2022
EPI2580009,Aves,Anseriformes,Anatidae,Cygnus,,Asia,Laos,,2022
EPI2708119,Aves,Accipitriformes,Accipitridae,,,North America,United States,Minnesota,2022
EPI2712399,Aves,Anseriformes,Anatidae,,,North America,United States,Wisconsin,2022
EPI703985,Aves,Anseriformes,Anatidae,Cairina,moschata,Asia,Laos,,2022
EPI107787,Aves,Anseriformes,Anatidae,Anas,,South America,Peru,Departamento de Lima,2023
EPI2070182,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Europe,Austria,Bundesland Wien,2023
EPI2074932,Aves,Not Specified,,,,Europe,Slovenia,,2023
EPI2559775,Aves,Charadriiformes,Laridae,,,Europe,Italy,Venezia,2023
EPI2671416,Aves,Not Specified,,,,North America,Canada,British Columbia,2023
EPI2730893,Aves,Charadriiformes,Laridae,Larus,canus,North America,United States,Pennsylvania,2023
EPI2773323,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Laos,,2023
EPI2856258,Aves,Not Specified,,,,North America,Canada,British Columbia,2023
EPI2856299,Aves,Not Specified,,,,North America,Canada,British Columbia,2023
EPI2856347,Aves,Not Specified,,,,North America,Canada,British Columbia,2023
EPI2856352,Aves,Not Specified,,,,North America,Canada,British Columbia,2023
EPI2913211,Aves,Galliformes,Phasianidae,Gallus,gallus,South America,Chile,Region Metropolitana de Santiago,2023
EPI3182117,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2023
EPI3182141,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2023
EPI1937615,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,North America,United States,New Mexico,2024
EPI1995045,Aves,Not Specified,,,,North America,United States,New Mexico,2024
EPI2088982,Aves,Not Specified,,,,North America,United States,Texas,2024
EPI2114066,Aves,Not Specified,,,,North America,United States,Texas,2024
EPI2138727,Aves,Charadriiformes,Laridae,,,North America,United States,Texas,2024
EPI2167303,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Texas,2024
EPI2167311,Aves,Not Specified,,,,North America,United States,Texas,2024
EPI2167388,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Texas,2024
EPI2475715,Aves,Anseriformes,Anatidae,Branta,leucopsis,North America,United States,Texas,2024
EPI2580767,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Texas,2024
EPI2799816,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,New Mexico,2024
EPI3222808,Aves,Anseriformes,Anatidae,,,North America,United States,Texas,2024
EPI356581,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,,2005
EPI171519,Aves,Anseriformes,Anatidae,Anser,indicus,Europe,Russian Federation,Volgograd Oblast,2006
EPI171524,Aves,Anseriformes,Anatidae,Anser,indicus,Europe,Russian Federation,Krasnodar Krai,2006
EPI171525,Aves,Anseriformes,Anatidae,Anser,indicus,Europe,Russian Federation,Krasnodar Krai,2006
EPI237583,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2006
EPI237585,Aves,Not Specified,,,,Europe,Germany,Bavaria,2006
EPI237589,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Germany,Bavaria,2006
EPI237591,Aves,Anseriformes,Anatidae,,,Europe,Germany,Bavaria,2006
EPI107895,Aves,Anseriformes,Anatidae,Anas,,Asia,China,,2007
EPI167866,Aves,Not Specified,,,,Asia,Myanmar,Yangon Division,2007
EPI222568,Aves,Not Specified,,,,Asia,China,,2007
EPI542317,Aves,Not Specified,,,,Asia,China,,2007
EPI841543,Aves,Anseriformes,Anatidae,,,Asia,India,,2008
EPI100406,Aves,Anseriformes,Anatidae,,,Asia,China,Jilin Province,2009
EPI2580057,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Jambi,2009
EPI284477,Aves,Not Specified,,,,Asia,Vietnam,,2009
EPI284480,Aves,Not Specified,,,,Asia,Vietnam,,2009
EPI284553,Aves,Not Specified,,,,Asia,Vietnam,,2009
EPI119071,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Laos,,2010
EPI180806,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Laos,,2010
EPI185237,Aves,Charadriiformes,Laridae,Larus,ridibundus,Asia,Nepal,,2010
EPI185240,Aves,Not Specified,,,,Asia,Nepal,,2010
EPI220530,Environment,Not Specified,,,,Asia,Laos,,2010
EPI2580041,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Yogyakarta Special Region,2010
EPI284478,Aves,Not Specified,,,,Asia,Vietnam,Bac Ninh,2010
EPI284556,Aves,Not Specified,,,,Asia,Vietnam,Quang tri,2010
EPI335093,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335117,Environment,Not Specified,,,,Asia,Laos,,2010
EPI335125,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335132,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335139,Environment,Not Specified,,,,Asia,Laos,,2010
EPI335147,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335155,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335163,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335171,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335179,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335212,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335220,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335228,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2010
EPI335233,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Laos,,2010
EPI335240,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Laos,,2010
EPI527346,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Laos,,2010
EPI527356,Aves,Not Specified,,,,Asia,Laos,,2010
EPI527358,Aves,Not Specified,,,,Asia,Laos,,2010
EPI559085,Aves,Anseriformes,Anatidae,,,Asia,China,,2010
EPI643194,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Nepal,,2010
EPI644285,Aves,Passeriformes,Corvidae,Corvus,,Asia,Nepal,,2010
EPI898399,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,Ha Giang,2010
EPI898424,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,Ha Tinh,2010
EPI898432,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,Ha Giang,2010
EPI898440,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,Nghe An,2010
EPI965217,Environment,Not Specified,,,,Asia,Myanmar,Sagaing Division,2010
EPI1161206,Aves,Anseriformes,Anatidae,,,Asia,Japan,Chiba,2011
EPI1304956,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Japan,Miyazaki,2011
EPI1304958,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Japan,Chiba,2011
EPI1304959,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Japan,Miyazaki,2011
EPI1842225,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Japan,,2011
EPI1851726,Aves,Not Specified,,,,Asia,Indonesia,Riau,2011
EPI2580018,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Central Java,2011
EPI2580020,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Gorontalo,2011
EPI2580037,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Bali,2011
EPI2580050,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Bali,2011
EPI2580093,Environment,Not Specified,,,,Asia,Indonesia,Banten,2013
EPI2749489,Aves,Not Specified,,,,Asia,Indonesia,Banten,2013
EPI356562,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,Jakarta,2013
EPI432700,Aves,Anseriformes,Anatidae,Cairina,moschata,Asia,Indonesia,Central Java,2013
EPI553308,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,East Java,2013
EPI553316,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,West Sumatra,2013
EPI559096,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Indonesia,West Java,2013
EPI775034,Aves,Galliformes,Phasianidae,,,Asia,India,,2013
EPI2584468,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,South Kalimantan,2014
EPI355250,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Asia,Indonesia,South Kalimantan,2014
EPI559081,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,South Kalimantan,2014
EPI559087,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,South Kalimantan,2014
EPI559092,Aves,Anseriformes,Anatidae,,,Asia,Indonesia,South Kalimantan,2014
EPI1892880,Aves,Anseriformes,Anatidae,,,Asia,India,,2015
EPI124612,Mammalia,Primates,Hominidae,Homo,sapiens,Europe,Sweden,,2006
EPI190428,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Austria,,2006
EPI283837,Aves,Anseriformes,Anatidae,,,Asia,Cambodia,,2006
EPI669122,Aves,Anseriformes,Anatidae,,,Europe,Denmark,Region Syddanmark,2006
EPI372067,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2008
EPI372070,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,Tinh Kien Giang,2008
EPI1353774,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2012
EPI1353798,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2012
EPI898898,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2013
EPI527350,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,Thu Do Ha Noi,2017
EPI2016967,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,South Dakota,2022
EPI2018075,Mammalia,Not Specified,,,,Europe,United Kingdom,Scotland,2022
EPI2085994,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Europe,Netherlands,Provincie Gelderland,2022
EPI2310082,Aves,Charadriiformes,Scolopacidae,Calidris,alba,North America,United States,Massachusetts,2022
EPI2311463,Aves,Charadriiformes,Laridae,Sterna,hirundo,Europe,Netherlands,Provincie Gelderland,2022
EPI2428809,Aves,Not Specified,,,,North America,United States,North Dakota,2022
EPI2606479,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,Provincie Gelderland,2022
EPI2648195,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2648200,Aves,Anseriformes,Anatidae,,,North America,United States,South Dakota,2022
EPI2648210,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,North America,United States,South Dakota,2022
EPI2648215,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,North America,United States,Nebraska,2022
EPI2648217,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,North America,United States,South Dakota,2022
EPI2702478,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2704390,Aves,Galliformes,Phasianidae,,,North America,United States,Florida,2022
EPI2706776,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,Nebraska,2022
EPI2706853,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2707126,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2707478,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2708612,Aves,Not Specified,,,,North America,United States,Florida,2022
EPI2708698,Aves,Not Specified,,,,North America,United States,Florida,2022
EPI2708901,Aves,Not Specified,,,,North America,United States,Florida,2022
EPI2709250,Aves,Not Specified,,,,North America,United States,Florida,2022
EPI2709273,Aves,Not Specified,,,,North America,United States,Florida,2022
EPI2709343,Aves,Not Specified,,,,North America,United States,Florida,2022
EPI2766675,Aves,Anseriformes,Anatidae,Cygnus,olor,North America,United States,South Dakota,2022
EPI2931714,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,New York,2022
EPI2017095,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Poland,,2023
EPI2233122,Aves,Anseriformes,Anatidae,,,Europe,Slovenia,,2023
EPI2613990,Aves,Not Specified,,,,North America,United States,California,2023
EPI2639771,Aves,Galliformes,Phasianidae,Gallus,gallus,South America,Argentina,Neuqu?n,2023
EPI2648216,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Europe,Poland,,2023
EPI2807907,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2023
EPI2807915,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2023
EPI2923389,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Russian Federation,Kherson region(village Ascania-Nova),2023
EPI3182133,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2023
EPI898097,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2023
EPI965185,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2023
EPI965413,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2023
EPI965483,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2023
EPI965528,Aves,Anseriformes,Anatidae,Anas,,Asia,Bangladesh,,2023
EPI283859,Aves,Anseriformes,Anatidae,,,Asia,Cambodia,,2005
EPI231133,Aves,Not Specified,,,,Europe,Austria,,2006
EPI417807,Aves,Anseriformes,Anatidae,,,Asia,Vietnam,,2013
EPI1583628,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Bangladesh,,2015
EPI1639863,Aves,Galliformes,Phasianidae,,,Asia,Bangladesh,,2015
EPI550507,Aves,Anseriformes,Anatidae,,,Asia,Israel,,2015
EPI671507,Aves,Anseriformes,Anatidae,,,Asia,Bangladesh,,2015
EPI2705056,Aves,Not Specified,,,,Europe,Netherlands,Provincie Groningen,2021
EPI2017007,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Michigan,2022
EPI2017047,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2017055,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2017175,Aves,Anseriformes,Anatidae,,,North America,United States,South Dakota,2022
EPI2017191,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2017215,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,New York,2022
EPI2076285,Aves,Anseriformes,Anatidae,Branta,leucopsis,North America,United States,Massachusetts,2022
EPI2181788,Aves,Not Specified,,,,North America,United States,Massachusetts,2022
EPI2243411,Aves,Not Specified,,,,North America,United States,Pennsylvania,2022
EPI2260470,Aves,Not Specified,,,,North America,Canada,,2022
EPI2317992,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Massachusetts,2022
EPI2427887,Aves,Not Specified,,,,North America,United States,New York,2022
EPI2428858,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2429039,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2648169,Aves,Anseriformes,Anatidae,Cygnus,,North America,United States,Michigan,2022
EPI2648173,Aves,Anseriformes,Anatidae,Cygnus,,North America,United States,New York,2022
EPI2648190,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2648192,Aves,Anseriformes,Anatidae,,,North America,United States,South Dakota,2022
EPI2648194,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,Maine,2022
EPI2648211,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,North America,United States,Michigan,2022
EPI2648213,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,North America,United States,Michigan,2022
EPI2666996,Aves,Not Specified,,,,North America,United States,Iowa,2022
EPI2702610,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702622,Aves,Anseriformes,Anatidae,Cygnus,,North America,United States,North Dakota,2022
EPI2702623,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702899,Aves,Anseriformes,Anatidae,,,North America,United States,Missouri,2022
EPI2702978,Aves,Not Specified,,,,North America,United States,New York,2022
EPI2704554,Aves,Anseriformes,Anatidae,,,North America,United States,Iowa,2022
EPI2704701,Aves,Charadriiformes,Laridae,,,North America,United States,Iowa,2022
EPI2705026,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2707046,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2709690,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2709897,Aves,Not Specified,,,,North America,United States,Maine,2022
EPI2709918,Aves,Not Specified,,,,North America,United States,Colorado,2022
EPI2710024,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2710057,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2710671,Aves,Not Specified,,,,North America,United States,Minnesota,2022
EPI2711438,Aves,Anseriformes,Anatidae,,,North America,United States,Pennsylvania,2022
EPI2711469,Aves,Not Specified,,,,North America,United States,Pennsylvania,2022
EPI2711501,Aves,Anseriformes,Anatidae,,,North America,United States,Pennsylvania,2022
EPI2713035,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2807618,Aves,Anseriformes,Anatidae,,,Asia,Laos,,2022
EPI3053219,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,North America,United States,North Dakota,2022
EPI462795,Aves,Passeriformes,,,,Asia,Laos,,2022
EPI2016983,Aves,Galliformes,Phasianidae,Meleagris,,Europe,Poland,,2023
EPI2579791,Aves,Falconiformes,Falconidae,Falco,peregrinus,Europe,Czech Republic,Stredocesky Kraj,2023
EPI2701038,Aves,Not Specified,,,,Europe,Belgium,Provincie Oost-Vlaanderen,2023
EPI1937607,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,North America,United States,Texas,2024
EPI2070038,Aves,Anseriformes,Anatidae,Cygnus,cygnus,North America,United States,Texas,2024
EPI231254,Aves,Anseriformes,Anatidae,Cygnus,,Europe,Austria,,2006
EPI41552,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,,2006
EPI41571,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,,2006
EPI41592,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,,2006
EPI141221,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,India,,2008
EPI361400,Environment,Not Specified,,,,Asia,Cambodia,,2011
EPI361402,Environment,Not Specified,,,,Asia,Cambodia,,2011
EPI1785177,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Laos,,2022
EPI1851775,Aves,Not Specified,,,,Asia,Laos,,2022
EPI2018115,Aves,Podicipediformes,Podicipedidae,Podiceps,cristatus,North America,United States,North Dakota,2022
EPI2120791,Aves,Podicipediformes,Podicipedidae,Podiceps,cristatus,North America,United States,Michigan,2022
EPI2427757,,Not Specified,,,,North America,United States,North Dakota,2022
EPI2427781,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2427921,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2428046,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2428770,Aves,Not Specified,,,,North America,United States,North Dakota,2022
EPI2428979,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2606437,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Netherlands,South Holland,2022
EPI2635196,Aves,Not Specified,,,,North America,United States,Maine,2022
EPI2639851,Aves,Not Specified,,,,Europe,Netherlands,Provincie Gelderland,2022
EPI2648162,Aves,Anseriformes,Anatidae,,,North America,United States,South Dakota,2022
EPI2648166,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2648168,Aves,Anseriformes,Anatidae,Cygnus,,North America,United States,Iowa,2022
EPI2648212,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,North America,United States,Nebraska,2022
EPI2666972,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2702270,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702273,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702318,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702461,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702527,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702575,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702598,Aves,Anseriformes,Anatidae,Cygnus,,North America,United States,North Dakota,2022
EPI2702634,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702671,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2702950,Aves,Anseriformes,Anatidae,,,North America,United States,North Dakota,2022
EPI2703192,Aves,Anseriformes,Anatidae,,,North America,United States,Nebraska,2022
EPI2703321,Aves,Anseriformes,Anatidae,,,North America,United States,Wisconsin,2022
EPI2703648,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2704318,Aves,Galliformes,Phasianidae,,,North America,United States,Michigan,2022
EPI2704498,Aves,Not Specified,,,,North America,United States,North Dakota,2022
EPI2704522,Aves,Not Specified,,,,North America,United States,North Dakota,2022
EPI2704551,Aves,Galliformes,Phasianidae,,,North America,United States,Michigan,2022
EPI2704654,Aves,Not Specified,,,,North America,United States,Michigan,2022
EPI2705158,Aves,Anseriformes,Anatidae,,,North America,United States,Colorado,2022
EPI2705292,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Michigan,2022
EPI2705434,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,North Dakota,2022
EPI2705644,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,North Dakota,2022
EPI2705757,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Michigan,2022
EPI2705788,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Nebraska,2022
EPI2706601,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Iowa,2022
EPI2706931,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,North Dakota,2022
EPI2707189,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2708653,Aves,Not Specified,,,,North America,United States,New York,2022
EPI2709128,Aves,Accipitriformes,Accipitridae,,,North America,United States,Michigan,2022
EPI2709149,Aves,Not Specified,,,,North America,United States,South Dakota,2022
EPI2711181,Aves,Charadriiformes,Laridae,,,North America,United States,Florida,2022
EPI2930913,Aves,Charadriiformes,Laridae,Larus,argentatus,North America,United States,Florida,2022
EPI2181507,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,United Kingdom,England,2023
EPI2188267,Aves,Anseriformes,Anatidae,Anser,rossii,Europe,Netherlands,"Utrecht, Haarrijn",2023
EPI2296234,Aves,Not Specified,,,,Europe,United Kingdom,England,2023
EPI2613958,Aves,Not Specified,,,,North America,United States,Connecticut,2023
EPI2613966,Aves,Not Specified,,,,North America,United States,Connecticut,2023
EPI2613982,Aves,Not Specified,,,,North America,United States,Washington,2023
EPI2614022,Aves,Not Specified,,,,North America,United States,Nevada,2023
EPI2648220,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Europe,Poland,,2023
EPI283959,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Cambodia,,2005
EPI283980,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Cambodia,,2005
EPI106346,Aves,Galliformes,Phasianidae,Gallus,gallus,Europe,Poland,Lubusz Voivodeship,2006
EPI283844,Aves,Anseriformes,Anatidae,,,Asia,Cambodia,,2006
EPI300863,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Cambodia,,2006
EPI327155,Environment,Not Specified,,,,Asia,Thailand,,2010
EPI327160,Aves,Not Specified,,,,Asia,Thailand,,2010
EPI1377804,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,Banten,2015
EPI226718,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,Banten,2015
EPI2017015,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,South Dakota,2022
EPI2017023,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,South Dakota,2022
EPI2029318,Aves,Not Specified,,,,North America,United States,Nebraska,2022
EPI2029326,Aves,Not Specified,,,,North America,United States,Nebraska,2022
EPI2260598,Aves,Not Specified,,,,North America,Canada,Ontario,2022
EPI2648143,Aves,Anseriformes,Anatidae,,,Europe,United Kingdom,England,2022
EPI2704928,Aves,Anseriformes,Anatidae,,,North America,United States,Florida,2022
EPI2705024,Aves,Not Specified,,,,North America,United States,Minnesota,2022
EPI2706857,Aves,Galliformes,Phasianidae,Meleagris,,North America,United States,South Dakota,2022
EPI2709677,Aves,Not Specified,,,,North America,United States,Nebraska,2022
EPI2709995,Aves,Not Specified,,,,North America,United States,Kansas,2022
EPI2710027,Aves,Not Specified,,,,North America,United States,Nebraska,2022
EPI2712033,Aves,Anseriformes,Anatidae,,,North America,United States,Connecticut,2022
EPI3032783,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,North Korea,Goseong,2022
EPI3138074,Aves,Galliformes,Phasianidae,Gallus,gallus,North America,United States,Massachusetts,2022
EPI2075634,Aves,Anseriformes,Anatidae,Branta,leucopsis,Asia,Japan,Niigata,2023
EPI2162913,Aves,Anseriformes,Anatidae,Anas,,Europe,Netherlands,"Groningen, Kaap Hoorn",2023
EPI2222196,Aves,Not Specified,,,,South America,Chile,Region de Antofagasta,2023
EPI136751,Aves,Not Specified,,,,Europe,Czech Republic,Jihocesky Kraj,2006
EPI1377612,Mammalia,Primates,Hominidae,Homo,sapiens,Asia,Indonesia,West Sumatra,2008
EPI180249,Aves,Galliformes,Phasianidae,Gallus,gallus,Asia,Vietnam,,2008
EPI352939,Aves,Anseriformes,Anatidae,Cygnus,,Asia,India,West Bengal,2009
EPI425368,Aves,Not Specified,,,,Asia,Vietnam,,2011
